concept_id,rendered_value,source_manifest_sha256,retired_on,protected_cues,reason_retired
"psaNWpct","0.6","c099eee0eac29867f2321c666ca484667e08a996cf825124e673a1b01bc6fb20","2026-07-15","psaNWpct|PSA|ICER|incremental cost|incremental QALY|P(CE)|convergence","Superseded by the G2-MODEL corrected canonical run; retained for stale-result detection."
"psaSWpct","0.2","c099eee0eac29867f2321c666ca484667e08a996cf825124e673a1b01bc6fb20","2026-07-15","psaSWpct|PSA|ICER|incremental cost|incremental QALY|P(CE)|convergence","Superseded by the G2-MODEL corrected canonical run; retained for stale-result detection."
"psaDecisionUncertainty","1.6","c099eee0eac29867f2321c666ca484667e08a996cf825124e673a1b01bc6fb20","2026-07-15","psaDecisionUncertainty|PSA|ICER|incremental cost|incremental QALY|P(CE)|convergence","Superseded by the G2-MODEL corrected canonical run; retained for stale-result detection."
"psaCrossoverWTP","66,000","c099eee0eac29867f2321c666ca484667e08a996cf825124e673a1b01bc6fb20","2026-07-15","psaCrossoverWTP|PSA|ICER|incremental cost|incremental QALY|P(CE)|convergence","Superseded by the G2-MODEL corrected canonical run; retained for stale-result detection."
"psaProbCEcatOne","96.1","c099eee0eac29867f2321c666ca484667e08a996cf825124e673a1b01bc6fb20","2026-07-15","psaProbCEcatOne|PSA|ICER|incremental cost|incremental QALY|P(CE)|convergence","Superseded by the G2-MODEL corrected canonical run; retained for stale-result detection."
"psaProbCEcatTwo","97.8","c099eee0eac29867f2321c666ca484667e08a996cf825124e673a1b01bc6fb20","2026-07-15","psaProbCEcatTwo|PSA|ICER|incremental cost|incremental QALY|P(CE)|convergence","Superseded by the G2-MODEL corrected canonical run; retained for stale-result detection."
"psaProbCEcatFour","98.6","c099eee0eac29867f2321c666ca484667e08a996cf825124e673a1b01bc6fb20","2026-07-15","psaProbCEcatFour|PSA|ICER|incremental cost|incremental QALY|P(CE)|convergence","Superseded by the G2-MODEL corrected canonical run; retained for stale-result detection."
"psaProbCEcatFive","98.7","c099eee0eac29867f2321c666ca484667e08a996cf825124e673a1b01bc6fb20","2026-07-15","psaProbCEcatFive|PSA|ICER|incremental cost|incremental QALY|P(CE)|convergence","Superseded by the G2-MODEL corrected canonical run; retained for stale-result detection."
"psaProbCEcatSix","98.8","c099eee0eac29867f2321c666ca484667e08a996cf825124e673a1b01bc6fb20","2026-07-15","psaProbCEcatSix|PSA|ICER|incremental cost|incremental QALY|P(CE)|convergence","Superseded by the G2-MODEL corrected canonical run; retained for stale-result detection."
"psaConvergenceIter","100","c099eee0eac29867f2321c666ca484667e08a996cf825124e673a1b01bc6fb20","2026-07-15","psaConvergenceIter|PSA|ICER|incremental cost|incremental QALY|P(CE)|convergence","Superseded by the G2-MODEL corrected canonical run; retained for stale-result detection."
"psaConvergencePct","2.4","c099eee0eac29867f2321c666ca484667e08a996cf825124e673a1b01bc6fb20","2026-07-15","psaConvergencePct|PSA|ICER|incremental cost|incremental QALY|P(CE)|convergence","Superseded by the G2-MODEL corrected canonical run; retained for stale-result detection."
"evpiPerPatient","1,407","c099eee0eac29867f2321c666ca484667e08a996cf825124e673a1b01bc6fb20","2026-07-15","evpiPerPatient|EVPI|expected value of perfect information","Superseded by the G2-MODEL corrected canonical run; retained for stale-result detection."
"evpiPopFiveYr","5.3","c099eee0eac29867f2321c666ca484667e08a996cf825124e673a1b01bc6fb20","2026-07-15","evpiPopFiveYr|EVPI|expected value of perfect information","Superseded by the G2-MODEL corrected canonical run; retained for stale-result detection."
"evpiPopTenYr","9.6","c099eee0eac29867f2321c666ca484667e08a996cf825124e673a1b01bc6fb20","2026-07-15","evpiPopTenYr|EVPI|expected value of perfect information","Superseded by the G2-MODEL corrected canonical run; retained for stale-result detection."
"evpiPopTwentyYr","16.2","c099eee0eac29867f2321c666ca484667e08a996cf825124e673a1b01bc6fb20","2026-07-15","evpiPopTwentyYr|EVPI|expected value of perfect information","Superseded by the G2-MODEL corrected canonical run; retained for stale-result detection."
"evppiHRos","1,033","c099eee0eac29867f2321c666ca484667e08a996cf825124e673a1b01bc6fb20","2026-07-15","evppiHRos|EVPPI|expected value of partial perfect information","Superseded by the G2-MODEL corrected canonical run; retained for stale-result detection."
"evppiHRdfs","258","c099eee0eac29867f2321c666ca484667e08a996cf825124e673a1b01bc6fb20","2026-07-15","evppiHRdfs|EVPPI|expected value of partial perfect information","Superseded by the G2-MODEL corrected canonical run; retained for stale-result detection."
"evppiJointHR","1,149","c099eee0eac29867f2321c666ca484667e08a996cf825124e673a1b01bc6fb20","2026-07-15","evppiJointHR|EVPPI|expected value of partial perfect information","Superseded by the G2-MODEL corrected canonical run; retained for stale-result detection."
"evppiJointHRpct","81.7","c099eee0eac29867f2321c666ca484667e08a996cf825124e673a1b01bc6fb20","2026-07-15","evppiJointHRpct|EVPPI|expected value of partial perfect information","Superseded by the G2-MODEL corrected canonical run; retained for stale-result detection."
"evppiNaiveSum","1,291","c099eee0eac29867f2321c666ca484667e08a996cf825124e673a1b01bc6fb20","2026-07-15","evppiNaiveSum|EVPPI|expected value of partial perfect information","Superseded by the G2-MODEL corrected canonical run; retained for stale-result detection."
"ssaICERstepWane","203,708","c099eee0eac29867f2321c666ca484667e08a996cf825124e673a1b01bc6fb20","2026-07-15","ssaICERstepWane|structural sensitivity|ICER|incremental QALY","Superseded by the G2-MODEL corrected canonical run; retained for stale-result detection."
"ssaICERlinearWane","157,819","c099eee0eac29867f2321c666ca484667e08a996cf825124e673a1b01bc6fb20","2026-07-15","ssaICERlinearWane|structural sensitivity|ICER|incremental QALY","Superseded by the G2-MODEL corrected canonical run; retained for stale-result detection."
"ssaICERtenYr","244,182","c099eee0eac29867f2321c666ca484667e08a996cf825124e673a1b01bc6fb20","2026-07-15","ssaICERtenYr|structural sensitivity|ICER|incremental QALY","Superseded by the G2-MODEL corrected canonical run; retained for stale-result detection."
"ssaICERtwentyYr","116,804","c099eee0eac29867f2321c666ca484667e08a996cf825124e673a1b01bc6fb20","2026-07-15","ssaICERtwentyYr|structural sensitivity|ICER|incremental QALY","Superseded by the G2-MODEL corrected canonical run; retained for stale-result detection."
"ssaICERpmin","107,918","c099eee0eac29867f2321c666ca484667e08a996cf825124e673a1b01bc6fb20","2026-07-15","ssaICERpmin|structural sensitivity|ICER|incremental QALY","Superseded by the G2-MODEL corrected canonical run; retained for stale-result detection."
"ssaICERdrugDiscount","109,358","c099eee0eac29867f2321c666ca484667e08a996cf825124e673a1b01bc6fb20","2026-07-15","ssaICERdrugDiscount|structural sensitivity|ICER|incremental QALY","Superseded by the G2-MODEL corrected canonical run; retained for stale-result detection."
"ssaICERageSeventyFour","915,712","c099eee0eac29867f2321c666ca484667e08a996cf825124e673a1b01bc6fb20","2026-07-15","ssaICERageSeventyFour|structural sensitivity|ICER|incremental QALY","Superseded by the G2-MODEL corrected canonical run; retained for stale-result detection."
"ssaIncrQALYageSeventyFour","0.049","c099eee0eac29867f2321c666ca484667e08a996cf825124e673a1b01bc6fb20","2026-07-15","ssaIncrQALYageSeventyFour|structural sensitivity|ICER|incremental QALY","Superseded by the G2-MODEL corrected canonical run; retained for stale-result detection."
"ssaICERfullAdherence","221,126","c099eee0eac29867f2321c666ca484667e08a996cf825124e673a1b01bc6fb20","2026-07-15","ssaICERfullAdherence|structural sensitivity|ICER|incremental QALY","Superseded by the G2-MODEL corrected canonical run; retained for stale-result detection."
"powsaINMBrangeHRos","446,560","c099eee0eac29867f2321c666ca484667e08a996cf825124e673a1b01bc6fb20","2026-07-15","powsaINMBrangeHRos|POWSA|INMB|P(CE)","Superseded by the G2-MODEL corrected canonical run; retained for stale-result detection."
"powsaINMBrangeHRdfs","194,085","c099eee0eac29867f2321c666ca484667e08a996cf825124e673a1b01bc6fb20","2026-07-15","powsaINMBrangeHRdfs|POWSA|INMB|P(CE)","Superseded by the G2-MODEL corrected canonical run; retained for stale-result detection."
"powsaINMBrangeProgCost","129,598","c099eee0eac29867f2321c666ca484667e08a996cf825124e673a1b01bc6fb20","2026-07-15","powsaINMBrangeProgCost|POWSA|INMB|P(CE)","Superseded by the G2-MODEL corrected canonical run; retained for stale-result detection."
"powsaINMBrangeDFSintCost","81,325","c099eee0eac29867f2321c666ca484667e08a996cf825124e673a1b01bc6fb20","2026-07-15","powsaINMBrangeDFSintCost|POWSA|INMB|P(CE)","Superseded by the G2-MODEL corrected canonical run; retained for stale-result detection."
"powsaINMBrangeDFSutil","35,106","c099eee0eac29867f2321c666ca484667e08a996cf825124e673a1b01bc6fb20","2026-07-15","powsaINMBrangeDFSutil|POWSA|INMB|P(CE)","Superseded by the G2-MODEL corrected canonical run; retained for stale-result detection."
"powsaMinProbCE","96.2","c099eee0eac29867f2321c666ca484667e08a996cf825124e673a1b01bc6fb20","2026-07-15","powsaMinProbCE|POWSA|INMB|P(CE)","Superseded by the G2-MODEL corrected canonical run; retained for stale-result detection."
"valDFSctrlFiveYr","73.1","c099eee0eac29867f2321c666ca484667e08a996cf825124e673a1b01bc6fb20","2026-07-15","valDFSctrlFiveYr|validation|DFS|BIC","Superseded by the G2-MODEL corrected canonical run; retained for stale-result detection."
"valDFSexFiveYr","79.8","c099eee0eac29867f2321c666ca484667e08a996cf825124e673a1b01bc6fb20","2026-07-15","valDFSexFiveYr|validation|DFS|BIC","Superseded by the G2-MODEL corrected canonical run; retained for stale-result detection."
"valDFSpubCtrl","73.9","c099eee0eac29867f2321c666ca484667e08a996cf825124e673a1b01bc6fb20","2026-07-15","valDFSpubCtrl|validation|DFS|BIC","Superseded by the G2-MODEL corrected canonical run; retained for stale-result detection."
"valDFSpubEx","80.3","c099eee0eac29867f2321c666ca484667e08a996cf825124e673a1b01bc6fb20","2026-07-15","valDFSpubEx|validation|DFS|BIC","Superseded by the G2-MODEL corrected canonical run; retained for stale-result detection."
"valDFSctrlGap","0.8","c099eee0eac29867f2321c666ca484667e08a996cf825124e673a1b01bc6fb20","2026-07-15","valDFSctrlGap|validation|DFS|BIC","Superseded by the G2-MODEL corrected canonical run; retained for stale-result detection."
"valDFSexGap","0.5","c099eee0eac29867f2321c666ca484667e08a996cf825124e673a1b01bc6fb20","2026-07-15","valDFSexGap|validation|DFS|BIC","Superseded by the G2-MODEL corrected canonical run; retained for stale-result detection."
"valBICdfsLognormal","994.8","c099eee0eac29867f2321c666ca484667e08a996cf825124e673a1b01bc6fb20","2026-07-15","valBICdfsLognormal|validation|DFS|BIC","Superseded by the G2-MODEL corrected canonical run; retained for stale-result detection."
"valBICdfsGenGamma","992.7","c099eee0eac29867f2321c666ca484667e08a996cf825124e673a1b01bc6fb20","2026-07-15","valBICdfsGenGamma|validation|DFS|BIC","Superseded by the G2-MODEL corrected canonical run; retained for stale-result detection."
"valBICdfsDiff","2.2","c099eee0eac29867f2321c666ca484667e08a996cf825124e673a1b01bc6fb20","2026-07-15","valBICdfsDiff|validation|DFS|BIC","Superseded by the G2-MODEL corrected canonical run; retained for stale-result detection."
"valBICosLognormal","612.0","c099eee0eac29867f2321c666ca484667e08a996cf825124e673a1b01bc6fb20","2026-07-15","valBICosLognormal|validation|DFS|BIC","Superseded by the G2-MODEL corrected canonical run; retained for stale-result detection."
"sevRemQALYgenPop","19.0","c099eee0eac29867f2321c666ca484667e08a996cf825124e673a1b01bc6fb20","2026-07-15","sevRemQALYgenPop|severity|remaining QALY","Superseded by the G2-MODEL corrected canonical run; retained for stale-result detection."
"sevRemQALYgenPopUnrounded","18.98","c099eee0eac29867f2321c666ca484667e08a996cf825124e673a1b01bc6fb20","2026-07-15","sevRemQALYgenPopUnrounded|severity|remaining QALY","Superseded by the G2-MODEL corrected canonical run; retained for stale-result detection."
